ID,depthID,cup,cup_g,cup_dry_soil_g,cup_soil_g,rwc,wp,gwc,horizonTopDepth,horizonBottomDepth,bulkDensTopDepth,bulkDensBottomDepth,bulkDensExclCoarseFrag,coarseFrag2To5,coarseFrag5To20,sandTotal,siltTotal,clayTotal,texture,vwc
NEON,4,6,1.7143,4.8282,4.8745,0.01486881402742556,-3.96,0.01486881402742556,79,132,90,105,0.9541,137,238,77.5,15.8,6.7,loamy sand,0.014186335463566726
NEON,4,7,1.6408,4.9241,4.9645,0.012304693448664451,-7.65,0.012304693448664451,79,132,90,105,0.9541,137,238,77.5,15.8,6.7,loamy sand,0.011739908019370752
NEON,4,8,1.7021,5.027,5.0581,0.009353664771872675,-12.6,0.009353664771872675,79,132,90,105,0.9541,137,238,77.5,15.8,6.7,loamy sand,0.008924331558843718
NEON,5,1,1.7015,4.953,5.1102,0.048346916807627115,-0.83,0.048346916807627115,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.07503924957711805
NEON,5,2,1.6353,4.8648,4.9827,0.03650719925685108,-1.45,0.03650719925685108,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.05666282396655856
NEON,5,3,1.6349,4.9136,5.0115,0.02985939549211581,-3.01,0.02985939549211581,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.04634476774331295
NEON,5,4,1.6526,4.9305,5.0062,0.02309405412001569,-6.01,0.02309405412001569,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.03584428139967635
NEON,5,5,1.6359,4.9334,4.9861,0.015981804397270854,-14.97,0.015981804397270854,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.02480535860500409
NEON,5,6,1.6804,4.9188,4.9659,0.014544219367589043,-18.97,0.014544219367589043,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.022574082880434953
NEON,5,7,1.6399,4.8385,4.8734,0.010911023572813223,-32.47,0.010911023572813223,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.016934999687363405
NEON,5,8,1.6348,4.9023,4.9304,0.008599846977811583,-42.19,0.008599846977811583,132,203,135,145,1.5521,152,108,59.2,27.3,13.5,sandy loam,0.013347822494261358
